Strain,Experimental,GSMM,Binary_Experimental,Binary_GSMM,ML_prediction
A01_42,15.3016451471713,0.993781462279344,0,0,0
A01_43,15.7601554449264,0.982089627502351,0,0,1
A01_44,15.9725793712814,2.06941104598556,0,1,0
A01_45,15.8623093175944,0.86653359631731,0,0,1
A01_46,15.6230926315269,1.07274810406877,0,0,0
A01_47,17.4947399243752,1.99855878182631,1,1,1
A01_48,16.3553386059147,1.83096069476747,1,1,1
A01_49,15.1302302339961,2.06393934265049,0,1,0
A01_50,16.7343320427368,1.08719266069554,1,0,1
A01_51,18.39061639782,2.05732984190916,1,1,0
A01_52,15.5632596904865,2.06197455283656,0,1,0
A01_53,15.2990732759757,2.07202614222715,0,1,0
A01_54,17.354935147815,2.06473038874753,1,1,1
A01_55,15.0281126130078,2.06654923079114,0,1,1
A01_56,15.8080676283533,0.934683062423318,0,0,1
A01_57,15.5001096758921,1.42275844349466,0,0,0
A01_58,17.9613725564363,0.578830606591714,1,0,1
A01_59,16.4843081527082,0.965232656524547,1,0,0
A01_60,17.316203765876,1.73770246172757,1,1,0
A01_61,17.1210525850165,2.06207018375625,1,1,0
A01_62,15.6543273756721,0.950146593555775,0,0,1
A01_63,16.5774256474085,1.91780658739827,1,1,0
A01_64,17.1922965177475,1.94097911513198,1,1,1
A01_65,17.476571044004,2.05961941917439,1,1,1
A01_66,15.7467983595628,2.06706426766303,0,1,0
A01_67,17.0072447908337,2.06872839494224,1,1,1
A01_69,16.9928429562334,2.09426293208057,1,1,0
A01_70,16.067529265944,0.954947327227905,0,0,0
A01_71,17.7585075434639,2.09426293208112,1,1,1
A01_72,16.3232314426685,1.86473891182297,1,1,1
A01_73,17.5435491979421,2.09426293208188,1,1,0
A01_74,15.3894535883348,2.06640869578972,0,1,1
A01_75,16.6068033291481,1.05821237465582,1,0,1
A01_76,15.8228586098475,0.994678460857952,0,0,0
A01_77,15.1898159798219,0.993450844382108,0,0,0
A01_79,18.0041373053522,2.09426293208129,1,1,1
A01_80,15.7790654506002,2.06313753689702,0,1,0
A01_81,14.3449584026505,0.950919138835515,0,0,0
A01_83,16.0345011014365,2.06392047992834,0,1,0
A01_84,15.4893003907179,1.89618131711278,0,1,0
A01_86,16.5633015820072,2.09438240955436,1,1,1
A01_87,17.4087879453467,2.10830070728244,1,1,1
A01_88,14.446109982281,2.06313753689652,0,1,0
A01_89,17.4863774634942,2.06219969053421,1,1,1
A01_90,15.7092548135281,2.06504064312604,0,1,0
A01_91,15.9353356538778,1.0050933477612,0,0,1
A01_92,16.8283545493198,0.95551153020187,1,0,1
A01_93,17.2192120661817,1.94245743560168,1,1,1
A01_94,14.808481719352,2.05853651288421,0,1,0
A01_95,18.6061920573945,2.02438320049038,1,1,1
A01_96,13.9789080068293,2.05092415123656,0,1,0
A02_01,16.1316601417178,2.10827669916842,0,1,0
A02_02,16.1255509310969,2.07776384329486,0,1,0
A02_03,17.6084475641352,1.08743699034547,1,0,0
A02_04,15.5060669921464,0.904424642975668,0,0,0
A02_05,16.4739906910984,0.468700118059007,1,0,1
A02_06,17.0048186792623,0.971553581401891,1,0,1
A02_07,17.0521216251657,2.10818487760681,1,1,1
A02_08,16.7542658824576,2.06395320578075,1,1,1
A02_09,11.9813028202782,0.956494117905164,0,0,0
A02_10,16.7069669979552,0.993018197209992,1,0,1
A02_11,14.349041047693,0.960724194907338,0,0,0
A02_12,15.6602133307207,0.950793385889331,0,0,0
A02_14,16.2422884218387,2.05685819419283,0,1,0
A02_15,16.3206738324946,2.09228261146631,0,1,1
A02_16,16.4435023240649,2.08191178691338,1,1,0
A02_17,16.694430334707,2.07152805811669,1,1,1
A02_20,16.1147085900947,0.500475132246375,0,0,1
A02_21,17.2823210484615,2.10895301952114,1,1,1
A02_22,17.8600680219523,0.98032763840561,1,0,1
A02_23,15.9618757253655,0.98818417579506,0,0,0
A02_24,14.9549352356691,0.950404062191493,0,0,1
A02_26,16.3494674851189,0.984386816860197,1,0,0
A02_27,15.3782767811119,0.956337700578607,0,0,0
A02_29,15.3970385927772,0.957065208118304,0,0,1
A02_30,16.4808322129138,1.42275844349049,1,0,1
A02_32,17.4266605526359,0.97257197358362,1,0,1
A02_33,16.3777621163107,2.00168575716357,1,1,1
